"map","locus","path_name"
"map05152","TR452-c0_g1_i1","Tuberculosis"
"map05152","TR10663-c0_g1_i1","Tuberculosis"
"map05152","TR8109-c0_g1_i1","Tuberculosis"
"map05160","TR13433-c0_g1_i1utrorf","Hepatitis C"
"map05160","TR452-c0_g1_i1","Hepatitis C"
"map05160","TR10057-c0_g1_i1utrorf","Hepatitis C"
"map05160","TR5235-c0_g1_i1","Hepatitis C"
"map05160","TR1699-c0_g1_i1","Hepatitis C"
"map05160","TR8109-c0_g1_i1","Hepatitis C"
"map05160","TR15202-c0_g1_i1","Hepatitis C"
"map05160","TR2862-c0_g1_i1","Hepatitis C"
"map05160","TR13435-c0_g1_i1","Hepatitis C"
"map05160","TR6400-c0_g1_i1","Hepatitis C"
"map05160","TR1200-c0_g1_i1","Hepatitis C"
"map05160","TR9108-c0_g1_i1","Hepatitis C"
"map05160","TR4310-c0_g1_i1","Hepatitis C"
"map05160","TR5852-c0_g1_i1","Hepatitis C"
"map05160","TR2059-c0_g1_i1","Hepatitis C"
"map05160","TR10663-c0_g1_i1","Hepatitis C"
"map05160","TR107-c0_g1_i1","Hepatitis C"
"map05160","TR7233-c0_g1_i1utrorf","Hepatitis C"
"map05160","TR5172-c0_g1_i1","Hepatitis C"
"map05160","TR6952-c0_g1_i1","Hepatitis C"
"map05160","TR10293-c0_g1_i1","Hepatitis C"
"map05161","TR3376-c0_g1_i1","Hepatitis B"
"map05161","TR13770-c0_g1_i1","Hepatitis B"
"map05161","TR2059-c0_g1_i1","Hepatitis B"
"map05161","TR9108-c0_g1_i1","Hepatitis B"
"map05161","TR10663-c0_g1_i1","Hepatitis B"
"map05161","TR7233-c0_g1_i1utrorf","Hepatitis B"
"map05161","TR8109-c0_g1_i1","Hepatitis B"
"map05161","TR8949-c0_g1_i1","Hepatitis B"
"map05161","TR14745-c0_g1_i1","Hepatitis B"
"map05161","TR745-c0_g1_i1","Hepatitis B"
"map05161","TR13430-c0_g1_i1","Hepatitis B"
"map05161","TR9502-c1_g1_i1","Hepatitis B"
"map05161","TR10057-c0_g1_i1utrorf","Hepatitis B"
"map05161","TR452-c0_g1_i1","Hepatitis B"
"map05162","TR13736-c0_g1_i1","Measles"
"map05162","TR6400-c0_g1_i1","Measles"
"map05162","TR11389-c0_g1_i1utrorf","Measles"
"map05162","TR7206-c0_g1_i1","Measles"
"map05162","TR4310-c0_g1_i1","Measles"
"map05162","TR10708-c0_g1_i1","Measles"
"map05162","TR11180-c0_g1_i1utrorf","Measles"
"map05162","TR9726-c0_g1_i1","Measles"
"map05162","TR2838-c0_g1_i1","Measles"
"map05162","TR5235-c0_g1_i1","Measles"
"map05164","TR2852-c0_g1_i1","Influenza A"
"map05164","TR9726-c0_g1_i1","Influenza A"
"map05164","TR10663-c0_g1_i1","Influenza A"
"map05164","TR5172-c0_g1_i1","Influenza A"
"map05164","TR9330-c0_g1_i1","Influenza A"
"map05164","TR14385-c0_g1_i1","Influenza A"
